address,latitude,longitude,name,number,street1,street2,cluster1,cluster2,cluster
Boundary St / Vulture St,-27.482562,153.011831,120 - BOUNDARY ST / VULTURE ST,120,Boundary St,Vulture St,22.0,27.0,27.0
VULTURE ST / STANLEY ST,-27.483259,153.026946,121 - VULTURE ST / STANLEY ST,121,VULTURE ST,STANLEY ST,27.0,25.0,25.0
Lower River Tce / Ellis St,-27.482279,153.028723,122 - LOWER RIVER TCE / ELLIS ST,122,Lower River Tce,Ellis St,8.0,8.0,18.0
Charlotte St / Albert St,-27.471315,153.026627,123 - CHARLOTTE ST / ALBERT ST,123,Charlotte St,Albert St,7.0,3.0,4.0
Annerley Rd / Grove St,-27.491284,153.027138,124 - ANNERLEY ROAD / GROVE ST,124,Annerley Rd,Grove St,12.0,8.0,5.0
Annerley Rd / Boggo Rd,-27.494959,153.02802,125 - ANNERLEY RD / BOGGO RD,125,Annerley Rd,Boggo Rd,12.0,8.0,5.0
Jane St / Boundary St,-27.479149,153.012132,126 - JANE ST / BOUNDARY ST,126,Jane St,Boundary St,8.0,22.0,22.0
Gladstone Rd / Annerley Rd,-27.497934,153.027333,127 - GLADSTONE RD / ANNERLEY RD,127,Gladstone Rd,Annerley Rd,8.0,12.0,5.0
Bouquet St / Montague Rd,-27.471712,153.013188,128 - BOUQUET ST / MONTAGUE RD,128,Bouquet St,Montague Rd,14.0,21.0,21.0
Lower River Tce / Parklands,-27.478032,153.034186,129 - LOWER RIVER TCE / PARKLANDS,129,Lower River Tce,Parklands,8.0,8.0,22.0
O'Connell St / Lambert St,-27.474992,153.037647,130 - O'CONNELL ST / LAMBERT ST,130,O'Connell St,Lambert St,29.0,8.0,5.0
Shafston Ave / Thorn St,-27.476792,153.039186,131 - SHAFSTON AVE / THORN ST,131,Shafston Ave,Thorn St,8.0,8.0,23.0
Little Cribb St / Boomerang St,-27.467971,153.009968,132 - LITTLE CRIBB ST / BOOMERANG ST,132,Little Cribb St,Boomerang St,8.0,8.0,5.0
Coronation Dr / Go Between Bridge,-27.468839,153.011115,133 - CORONATION DR / GO BETWEEN BRIDGE,133,Coronation Dr,Go Between Bridge,11.0,8.0,18.0
Railway Tce / Cribb St,-27.468845,153.007364,134 - RAILWAY TCE / CRIBB ST,134,Railway Tce,Cribb St,8.0,8.0,18.0
Park Rd / Railway Tce,-27.469501,153.004129,135 - PARK RD / RAILWAY TCE,135,Park Rd,Railway Tce,8.0,8.0,21.0
Park Rd / Douglas St,-27.470987,153.004602,136 - PARK RD / DOUGLAS ST,136,Park Rd,Douglas St,8.0,8.0,11.0
Kilroe St / Dorsey St,-27.472413,153.001803,137 - KILROE ST / DORSEY ST,137,Kilroe St,Dorsey St,8.0,8.0,16.0
Roy St / Lang Pde,-27.473888,153.000599,138 - ROY ST / LANG PDE,138,Roy St,Lang Pde,8.0,8.0,11.0
Bi-centennial Bike Way / Lang Pde,-27.476076,153.002459,139 - BI-CENTENNIAL BIKE WAY / LANG PDE,139,Bi-centennial Bike Way,Lang Pde,8.0,8.0,18.0
Dunmore Tce / Kingsford St,-27.476003,153.000676,140 - DUNMORE TCE / KINGSFORD ST,140,Dunmore Tce,Kingsford St,8.0,8.0,18.0
Land St / Coronation Dr,-27.479453,152.997215,141 - LAND ST / CORONATION DR,141,Land St,Coronation Dr,8.0,11.0,11.0
Sylvan Rd / Coronation Dr,-27.482081,152.995804,142 - SYLVAN RD / CORONATION DR,142,Sylvan Rd,Coronation Dr,8.0,11.0,11.0
Regatta Ferry Terminal / Sylvan Rd,-27.483168,152.996419,143 - REGATTA FERRY TERMINAL / SYLVAN RD,143,Regatta Ferry Terminal,Sylvan Rd,8.0,8.0,11.0
Jephson St / Sherwood Rd,-27.485075,152.990627,144 - JEPHSON ST / SHERWOOD RD,144,Jephson St,Sherwood Rd,8.0,8.0,5.0
Coronation Dr / Archer St,-27.485872,152.99347,145 - CORONATION DR / ARCHER ST,145,Coronation Dr,Archer St,11.0,8.0,11.0
Brisbane St / Glen Rd,-27.487187,152.993052,146 - BRISBANE ST / GLEN RD,146,Brisbane St,Glen Rd,8.0,8.0,5.0
Sandford St / Brisbane St,-27.490776,152.994747,147 - SANDFORD ST / BRISBANE ST,147,Sandford St,Brisbane St,8.0,8.0,18.0
Sandford St / Austral St,-27.492489,152.996768,148 - SANDFORD ST / AUSTRAL ST,148,Sandford St,Austral St,8.0,8.0,5.0
Macquarie St / Guyatt Park,-27.493626,153.001482,149 - MACQUARIE ST / GUYATT PARK,149,Macquarie St,Guyatt Park,8.0,8.0,18.0
Macquarie St / Munro St,-27.492876,153.006071,150 - MACQUARIE ST / MUNRO ST,150,Macquarie St,Munro St,8.0,8.0,5.0
King George Square 2,-27.468447,153.024662,1101 - KING GEORGE SQUARE 2,1101,King George Square 2,King George Square 2,10.0,10.0,11.0
